,lblKitaname,Telefon,lblTelefon
416,EKT - Kita-Verein Lichtenrade Ost - Groß-Ziethener-Str. 96,030 7454096,745 40 96
1350,EKT - Kita-Verein Lichtenrade Ost - Nahariyastr. 45,030 7462689,746 26 89
2628,EKT - Kitaträumer,030 40043755,4004 3755
1560,EKT - Klapperkiste,030 4935805,030493 58 05
1631,EKT - Klara Kirschkern e.V.,030 6943390,694 33 90
307,EKT - Kleine Erdenwesen,030 6217636,621 76 36
3005,EKT - Kleine Fische,030 42019767,3042019767
2504,EKT - Kleine Fische-ganz groß,030 7521317,307521317
1796,EKT - Kleine Panther,030 8222769,822 27 69
2824,EKT - Kleine Riesen - Große Zwerge,030 92900681,929 006 81
923,EKT - Kleiner Frosch/Türkischer Elternverein Bln-Brbg,030 3965210,303965210
981,EKT - Knallerbsen/Ecke Okerstr. 10,030 6217997,621 79 97
2690,EKT - Knatterbande,030 69817780,6981 7780
1591,EKT - Knatterpampe,030 6925555,692 55 55
304,EKT - Knuddelmuddel,030 2141514,214 15 14
1150,EKT - Knulp,030 6921323,692 13 23
292,EKT - Knusperhäuschen,030 4040777,404 07 77
2447,EKT - Krausnick-Eck,030 48493850,4849 3850
578,EKT - Kraut und Rüben,030 55281195,3055281195
1314,EKT - Krikel Krakel,030 8592580,859 25 80
907,EKT - Krötenpfuhl,030 6911656,691 16 56
1752,EKT - Krowelstr.,030 3325171,030332 51 71
1614,EKT - Krümelmonster e.V.,030 7862462,786 24 62
674,EKT - Kulleberga,030 8555040,030855 50 40
1000,EKT - Kulturküken,030 3232585,323 25 85
2491,EKT - Kulturschlüssel,030 78896675,7889 6675
2576,EKT - Kunterbunt,030 53097225,3053097225
1611,EKT - Langer Rüssel,030 6126120,612 61 20
1309,EKT - Lankwitzer Spielkiste,030 7741050,774 10 50
2712,EKT - Las Abejitas,030 30839294,3083 9294
1617,EKT - Leierkasten,030 6126941,030612 69 41
1361,EKT - Lichtenrader Dreckspatzen,030 70078611,3070078611
2670,EKT - Lieblingsplatz,030 20687890,2068 7890
1925,EKT - Lilo Leopard,030 7815168,781 51 68
2536,EKT - Loupiot,030 62732452,6273 2452
1635,EKT - Löwenhöhle,030 6121533,612 15 33
2981,EKT - LUNA,030 25768118,3025768118
811,EKT - Macht nix,030 7859144,785 91 44
2582,EKT - Macht nix,030 78950708,7895 0708
1553,EKT - Mafalda,030 6212615,030621 26 15
818,EKT - Maikäfer,030 3482512,348 25 12
1802,EKT - Maikäfer (Gartenhaus),030 8623049,862 30 49
2325,EKT - Maluch,030 3967815,030396 78 15
654,EKT - Mappagei,030 3254565,325 45 65
676,EKT - Märchenwald/Ver.z.Errichtg u.Betreibg v.EKTs e.V.,030 75709465,03075709465/75008230
676,EKT - Märchenwald/Ver.z.Errichtg u.Betreibg v.EKTs e.V.,030 75008230,03075709465/75008230
1558,EKT - Mauerspechte,030 46068040,4606 8040
1434,EKT - Mieterinitiative HWS-Gropiusstadt,030 6031038,030603 10 38
576,EKT - Milchzahn,030 8592320,030859 23 20
1030,EKT - Minihausen,030 6821549,682 15 49
2590,EKT - Mischpoke,030 40574549,40574549
987,EKT - Mondlicht I,030 6948233,69 48233
1578,EKT - Mondlicht II,030 61625913,6162 5913
1584,EKT - Mondsichel,030 6918102,691 81 02
569,EKT - Montessori-Gemeinschaftshaus,030 8327999,030832 79 99
1551,EKT - Monumentenbande,030 7866868,307866868
2664,EKT - Müggelräuber,030 65013444,0306501 3444
384,EKT - Munkelrübe,030 6182063,030618 20 63
1921,EKT - Murkel,030 2166990,302166990
762,EKT - Naseweis,030 6249220,306249220
967,EKT - Nasreddin,030 2510107,030251 01 07
534,EKT - Nestwärme,030 61076022,3061076022
739,EKT - Neumond,030 6917239,691 72 39
308,EKT - Neuzeitlich-christliche Initiative,030 60975622,3060975622
2498,EKT - Obst und Gemüse,030 47378599,3047378599
1531,EKT - Oscar,030 3363025,336 30 25
728,EKT - Pädagogisches Zentrum Bissingzeile,030 2614592,261 45 92
841,"EKT - Panther, Tiger und Co.",030 3948183,303948183
1316,EKT - Papalagi,030 7919540,791 95 40
1786,EKT - Paul und Klärchen,030 8549440,030854 94 40
2326,EKT - Perle,030 3945859,303945859
1576,EKT - Pillepoppen,030 7465989,746 59 89
2629,EKT - pinepako,030 6152579,030-615 25 79
2617,EKT - Pipilota,030 42809879,4280 9879
1581,EKT - Pittiplatsch,030 6919580,030691 95 80
1627,EKT - Plutonia,030 6184963,618 49 63
1318,EKT - Pusteblume,030 7951574,307951574
2292,EKT - Quasselstrippe,030 4488054,448 80 54
1222,EKT - Rappelschlößchen,030 8220079,822 00 79
919,EKT - Rasselbande,030 6249591,624 95 91
2624,EKT - Ratzefatze,030 53016787,0305301 6787
2817,EKT - Regenbogen-Kidz,030 34093605,3034093605
382,"EKT - Regenbogenfabrik, Block 109",030 69579514,3069579514
512,EKT - Ringelbande,030 7920895,307920895
1445,EKT - Ringelsöckchen,030 6222001,622 20 01
1703,EKT - Rönne,030 3228298,322 82 98
996,EKT - Rosa Wolke/Kirschkern e.V.,030 3994032,399 40 32
2632,EKT - Rosinante,030 91206890,9120 6890
332,EKT - Rotkappe,030 60966644,60966644
2500,EKT - Rotz und Trotz,030 84316789,0308431 6789
1590,EKT - Rübezahl,030 6186315,306186315
1918,EKT - Rübezahl,030 7828600,307828600
686,EKT - Rummel-Bummel,030 4919071,030491 90 71
745,EKT - Saatwinkler Küken,030 3822615,382 26 15
1515,EKT - Saftladen,030 4148251,304148251
1529,EKT - Sagaland,030 3953052,395 30 52
2492,EKT - Schlumpfoase,030 40304717,4030 4717
1355,EKT - Schmunzelmonster,030 7518847,751 88 47
1514,EKT - Schülerladen Bullerbü,030 4551070,455 10 70
2553,EKT - SOL,030 29049648,2904 9648
1356,EKT - Sonnengarten,030 7521275,752 12 75
968,EKT - Sonnenkinder,030 3412860,341 28 60
1521,EKT - Spandauer Schwalbennest,030 3678831,030367 88 31
2490,EKT - Spreesprotte,030 61287771,6128 7771
2682,EKT - Spreesprotte,030 61655690,6165 5690
2377,EKT - Stadtkinder,030 27018926,3027018926
2478,EKT - Stadtkinder,030 27018926,3027018926
2818,EKT - Stadtkinder,030 27018926,3027018926
1308,EKT - Steglitzer Eierpamper,030 7913621,791 36 21
755,EKT - Steglitzer Kinderkreisel,030 8334509,833 45 09
1855,EKT - Stolper Kinderhaus,030 8052362,030805 23 62
933,EKT - Tentakel,030 54594692,3054594692
2535,EKT - Theaterspiel-Kita Capriola,030 41726612,4172 6612
336,EKT - Tigerente,030 6930468,030693 04 68
349,EKT - Timpetu,030 4773443,304773443
1758,EKT - Traumhaus Kladow,030 3657458,365 74 58
2606,EKT - Treinta Lobitos,030 48492049,4849 2049
1816,EKT - Trolle,030 8833435,883 34 35
1602,EKT - Trompete,0176 62914877,0176/62914877
1239,EKT - Trotzköpfchen,030 8526126,852 61 26
2385,EKT - Tüte Mücken,030 4512076,030451 20 76
903,EKT - Veda-Lila Kindergarten,030 6947166,6947166 / 033051/906
994,EKT - Verein z. Förderg multikult. Generation,030 6266509,626 65 09
2384,EKT - Verein z. Förderung integrativer Erziehung e.V.,030 4533076,030453 30 76
669,EKT - Verein zur Förderung vorschulischer Erziehung,030 7881317,030788 13 17
125,EKT - Villa Kunterbund,030 4452297,445 22 97
1542,EKT - Villa Römer,030 4948878,030494 88 78
415,EKT - Villa Wackelzahn,030 75764484,0307576 4484
910,EKT - Waffelbande,030 6134474,613 44 74
992,EKT - Waldorf-Kindergarten Berlin-Wedding,030 4648222,464 82 22
1498,EKT - Waldorf-Kindergarten Hermsdorf,030 40501040,4050 1040
1819,EKT - Waldorfkindergarten Rosenhof,030 8537689,308537689
1597,EKT - Whistcastle of Eternia,030 61623763,6162 3763
1623,EKT - Wilde 13,030 6125570,306125570
1808,EKT - Wilde Hilde,030 8545842,854 58 42
1911,EKT - Wilde Tiger e.V.,030 7534902,030753 49 02
2680,EKT - WindFee,030 32533402,32533402
528,EKT - Wir um vier,030 8913998,891 39 98
1612,EKT - Wohnhof e.V.,030 2510316,251 03 16
1705,EKT - Wusel,030 3128670,312 86 70
1424,EKT - Yong,030 6237189,623 71 89
1691,EKT - Yoyo,030 3247052,030324 70 52
2432,EKT - Zappergeck,030 6156248,030615 62 48
2647,EKT - Zebra Int. Kiga,030 44041109,4404 1109
1613,EKT - Zinnober,030 7859265,030785 92 65
865,EKT - Zippel und Zappel,030 6945500,694 55 00
499,EKT - Zwergenland,030 7515350,751 53 50
1304,EKT - Zwergstatt,030 7929758,792 97 58
966,EKT -Kinderladen Trau Dich,030 6117706,611 77 06
1427,EKT -Kwetu,030 6211049,621 10 49
100030,"EKT ""Kajtek"" - Verein zur Förderung
polnischer Sprache",030 2152600,030215 26 00
942,EKT Affentheater,030 7844522,030784 45 22
553229,EKT Al Naml - Die Ameisen,030 65836735,3065836735
2969,EKT Ali Baba und seine Räuber,030 62008811,3062008811
2707,EKT am Schillerpark,030 43722954,3043722954
2688,EKT Auenland,030 49908866,3049908866
2627,EKT Bäumchen,030 45026935,3045026935
2934,EKT Bessere Zukunft für Kinder,030 6186847,306186847
168129,EKT biberbau,030 76213750,3076213750
2559,EKT Billabong 02,030 33850082,3033850082
1694,EKT Bollerwagen Charlottenburg,030 30105498,0303010 5498
136129,EKT Bullerbü,01512 1168204,0151/21168204
2539,EKT Bunte Mischung,030 74073555,3074073555
527229,EKT Cantianstraße,030 47375364,3047375364
2565,EKT Coquelicot,030 30824909,3030824909
179129,EKT der Bildungsgarten,0176 96997572,0176 96997572
224129,EKT Die Bärenbande,030 43056928,3043056928
2506,EKT Die Grünspechte,030 23274069,3023274069
2650,EKT Die Maulwürfe,030 7726927,030772 69 27
2637,EKT Die Sternenfischer,030 65941644,3065941644
380329,EKT Die wilden 25,030 33848712,3033848712
2493,EKT Domino,030 48623280,3048623280
1805,EKT Dreckspatzen,030 8619636,308619636
2511,EKT Eene meene mopel,030 5251710,305251710
100021,EKT EL Carrusel,01525 4798091,0152 54798091
532229,EKT el jardin de Mafalda,0176 72555089,17672555089
651229,EKT el jardin de Mafalda,0176 72555089,4917672555089
2552,EKT Elfenland,030 49854889,3049854889
1922,EKT Feuerkäfer,030 2166657,302166657
409129,EKT Filippo,030 22016698,3022016698
2600,EKT Fino und Fleur,030 6926284,692 62 84
1690,EKT Firlefanz,030 3217086,303217086
103179,EKT Flitzpiepen,030 66309026,3066309026
727,EKT Flocke,030 3922126,303922126
1241,EKT Friedenauer Kinder,030 8222952,308222952
2505,EKT Friedrichshagener Kinderladen,030 12096361,3012096361
2968,EKT Frischlinge,030 4538849,304538849
2588,EKT Frühling-Sommer-Herbst-Winter,030 64091256,3064091256
338,EKT Galvanistr. 14,030 3425111,303425111
508,EKT Gänseblümchen,030 4514024,304514024
2524,EKT Gartenkinder,030 66649676,3066649676
2472,EKT Garuda,030 49902642,3049902642
867,EKT Gemeinnütziger Charlottenburger Kila,030 3223450,303223450
2579,EKT Giardino dei Bambini,030 36752100,3036752100
972,EKT Girasole,030 8548466,308548466
2558,EKT Girotondo,030 69815328,3069815328
1930,EKT Grashüpfer,030 44312682,3044312682
340,EKT Großstadtpflänzchen,030 8558600,308558600
1682,EKT Grüne Erdferkel,030 3225112,303225112
1685,EKT Grünes Nashorn,030 3015513,303015513
2644,EKT Guckloch,030 42804111,3042804111
554,EKT Guten Tag Kinder,030 6913932,306913932
577,EKT Harrys Kid's Club,030 8550741,308550741
586,EKT Hasenreiter,030 6211032,306211032
1253,EKT Hauruck,030 8521081,308521081
1027,EKT Havelbande,030 3618113,303618113
591,EKT Heinzegraben,030 4167421,304167421
410129,EKT Herzberger Wurzelzwerge,030 67943647,3067943647
1002,EKT Herzlichtgarten,030 6949805,306949805
918,EKT Highway,030 6819054,306819054
561,EKT Hildegarten,030 8539160,308539160
984,EKT Hokus Pokus,030 30364646,3030364646
1626,EKT Hollerbusch,030 6183014,306183014
2466,EKT Im Känguru,030 44317200,3044317200
1688,EKT Ingrids Kindergarten,030 3211780,321 17 80
529229,EKT Inselreich,0178 4576619,0178 4576619
176,EKT Integrative Kinderbetreuung NIDO,030 2911646,302911646
1305,EKT Ja Ja He und Co.,030 7932265,030793 22 65
100017,EKT JAMSAPALPIM e.V.,030 47981838,0304798 1838
2381,EKT Jo Jo,030 4656455,304656455
2749,EKT Josephine,030 44012685,3044012685
2428,EKT Jule Kirschkern e.V.,030 6931995,693 19 95
1352,EKT Jungadler,030 7224550,307224550
2763,EKT Jungadler,030 75516564,3075516564
100037,EKT Jungle,030 61651161,0306165 1161
349129,EKT Junikäfer,030 7940545,307940545
136179,EKT Karl und Karla,030 32663104,3032663104
513229,EKT Katzbachstraße,030 78717275,3078717275
936,"EKT Kids 2000""",030 26931422,3026931422
450129,EKT Kinder - Land in Sicht,030 8731846,308731846
754,EKT Kinderhaus Friedenau,030 85079591,03085 07 95 91
1897,EKT Kinderhaus Friedenau,030 8524041,030852 40 41
929,"EKT Kinderhaus Friedenau 
Lauterstraße 40",030 8511429,030851 14 29
1510,EKT Kinderhaus Frohnau,030 4018896,030401 88 96
564,EKT Kinderland,030 8623396,308623396
471129,EKT Kinderoase,030 12028791,3012028791
210129,EKT Kindertraum,030 48826202,3048826202
801,EKT Kleckerburg,030 3919187,303919187
1589,EKT Klein und Stark,030 6123017,306123017
1311,EKT Kleine Drachen,030 8344054,308344054
2708,EKT Kleine Himmelswolke,030 29035330,0302903 5330
1505,EKT Kleine Pusteblume,030 4306271,304306271
1756,EKT Kleine Riesen,030 3615401,303615401
822,EKT Kleine Ungeheuer,030 7843347,307843347
553279,EKT Kleine Zwergenparade,030 37537009,0303753 7009
548,EKT Konfetti,030 2157366,302157366
2532,EKT Krikelkrakel,030 51636203,3051636203
2379,EKT Krümelbande,030 4536050,304536050
100044,EKT Krümelmonster e.V.,030 69209717,0306920 97 17
573,EKT L' Angolino,030 2141751,302141751
664,EKT Land in Sicht,030 85072367,3085072367
580,EKT Langzeit,030 8333844,308333844
509,EKT Lankwitz,030 7725056,307725056
480179,EKT Libelle,030 44715620,3044715620
677,EKT Lima,030 6237701,306237701
2429,EKT Lindenblüte,030 6117735,306117735
297129,EKT Lollipopp,01573 1392438,0157 31392438
473329,EKT Luna Sternenstaub,0173 7616677,0173 7616677
380,EKT Makke,030 6186519,306186519
1807,EKT Manimatschi,030 8621611,308621611
584,EKT Marienfelde,030 7112391,307112391
500229,EKT Matschmonster,030 85621555,030-85621555
1607,EKT Mauseblitz,030 61284767,6128 4767
318129,EKT Meilenstein,030 91527183,3091527183
622229,EKT Melodiekiste,030 20046191,3020046191
2603,EKT Mini-Kids-Salvator,030 76106745,3076106745
737,EKT Minifee,030 61620677,0306162 0677
2462,EKT Mittenmang,030 2477060,302477060
633229,EKT Mooswuffel,030 65830866,3065830866
1362,EKT Mücke,030 7065351,307065351
