Senats-id,lblKitaname,Telefon,lblTelefon
264,Kita Siegburger Str. 1/Kitas Nordwest,030 897301090,30897301090
265,Kita Ebersstr. 19/Kitas Süd-West,030 290276040,30290276040
267,Kita Ruthstr. 6/Kitas Süd-West,030 290276590,30290276590
268,Kita Flurweg,030 6616081,030661 60 81
269,Kita Paster-Behrens-Str. 81/Kitas SüdOst,030 67066702,03067066702/3
269,Kita Paster-Behrens-Str. 81/Kitas SüdOst,030 67066703,03067066702/3
270,"IB-Kita, Internationaler Bund",030 68975519,030689 75 519
273,Kita Alt-Tegel 40/Kitas Nordwest,030 439839525,30439839525
276,Kita Kinderland,030 4958517,4958517
277,Kita Frohnauer Straße,030 4040444,304040444
278,Kita/Kinder in Bewegung (KiB),030 41706145,3041706145
279,Kita Karolinenstr. 3/Kitas Nordwest,030 4399390,304399390
281,Waldorfkindergarten Westend,030 30814813,303081 4813
282,Kita d.Ev.Kirchengem. Heilig Kreuz-Passion/VH,030 6912499,306912499
285,Kita Aventura Nikolsburg,030 8618066,030861 80 66
289,Ev. Kita Philipp Melanchthon,030 685100701,30685100701
292,EKT - Knusperhäuschen,030 4040777,404 07 77
293,Kita Zwergenschloß,030 4042718,304042718
295,Kinder- und Schülerladen Olle Burg,030 3958958,395 89 58
296,Waldorfkindertagesstätte im Forum Kreuzberg,030 61108913,030611089-13
297,EKT - Kinderladen Muko,030 6186824,030618 68 24
299,EKT Optimisten,030 6945106,306945106
304,EKT - Knuddelmuddel,030 2141514,214 15 14
305,EKT Urmel,030 6852152,306852152
306,"Waldorfkindergarten ""Lindenbaum""",030 6254077,625 40 77
307,EKT - Kleine Erdenwesen,030 6217636,621 76 36
308,EKT - Neuzeitlich-christliche Initiative,030 60975622,3060975622
309,Kita Paradies für Kinder,030 39480196,0303948 0196
310,Kita Holsteiner Ufer 12/Kigä City,030 36409506,3036409506
313,Kita Sternenhimmel,030 4644358,030464 43 58
314,Kita Wattstraße,030 4644359,030464 43 59
318,Kita Schloßstr. 45-47/Kitas Nordwest,030 367023670,030367 023 670
320,Kita Prager Str./Kitas Nordwest,030 236310850,030236 310 850
323,Kita am Park,030 85072810,03085 07 28 10
325,Kita Filandastr. 27/Kitas Süd-West,030 290276190,30290276190
327,"Kita ""Sonnenschein""",030 62981444,03062 98 14 44
332,EKT - Rotkappe,030 60966644,60966644
334,EKT - ALIBABA,030 3962664,396 26 64
335,Wolke 7 gGmbH,030 4535627,304535627
336,EKT - Tigerente,030 6930468,030693 04 68
338,EKT Galvanistr. 14,030 3425111,303425111
339,EKT - Dreiecke und Kreise,030 3362094,336 20 94
340,EKT Großstadtpflänzchen,030 8558600,308558600
341,EKT - Friedenauer Elterninitiative,030 8551054,308551054
342,Kita im Palasseum,030 2168438,030216 84 38
344,"Kita ""Die Schlümpfe""",030 6267660,030626 76 60
345,EKT Regenbogenkinder,030 4310384,304310384
346,EKT - Kinderbegegnungsstätte Atatürk,030 3227864,030322 7864
347,Kita Ev. Diakoniewerk Königin Elisabeth,030 54725051,3054725051
348,EKT - Kinderladen Villa Honighut,030 9252776,030925 27 76
349,EKT - Timpetu,030 4773443,304773443
350,KINDERHAUS Berlin - Mark Brandenburg,030 9293122,309293122
351,Kitaverbund Regenbogen,030 9864709,0309864709/9864490
351,Kitaverbund Regenbogen,030 9864490,0309864709/9864490
352,Kita Gartenstr. 107/Kigä City,030 2828337,302828337
353,Kita Kleine Auguststr. 10/11Kigä City,030 2826045,302826045
354,Kita Max-Beer-Str. 24/26/Kigä City,030 2476849,302476849
355,Kita Rheinsberger Str. 34/35,030 4493459,030449 34 59
356,Kita Alegria,030 24639998,0302463 99 98
359,Kita Brüsseler Straße,030 4541884,304541884
363,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 4622076,030462 20 76
364,Kita der Bayer Pharma AG,030 46812018,3046812018
365,Kita Pinocchio,030 4425604,304425604
367,Kita Zwergenhausen/Kigä NordOst,030 4427480,304427480
368,"Kita ""Am Wasserturm""",030 4427643,304427643
369,Kita Löwenzahn und Flohkiste,030 4422637,304422637
370,Kindergarten Sonnenblume/Kigä NordOst,030 4232243,304232243
375,Kita Kochstr. 8/Kigä City,030 34620291,3034620291
377,Kita Planufer 77/Kigä City,030 50586341,3050586341
378,Kita Reichenberger Str. 40/Kigä City,030 23889682,3023889682
379,Ev. Kita St. Simeon,030 6142300,030614 23 00
380,EKT Makke,030 6186519,306186519
381,EKT - Alles Banane,030 6941812,694 18 12
382,"EKT - Regenbogenfabrik, Block 109",030 69579514,3069579514
384,EKT - Munkelrübe,030 6182063,030618 20 63
385,Kita KOTTI,030 6153200,615 32 00
386,Kinder-und Jugendclub Aladdin,030 61108913,3061108913
387,Kita Halemweg 22/Kitas Nordwest,030 343557990,30343557990
390,Kita Kastanienallee des Pestalozzi-Fröbel-Hauses,030 3056093,030305 60 93
391,Kita Haubachstraße des Pestalozzi-Fröbel-Hauses,030 3429872,030342 98 72
392,Kita der Ev. Kirchengem. Am Lietzensee,030 32671805,0303267 1805
394,EKT - Eichhörnchen,030 3016926,303016926
395,Kita der Ev. Kirchengem. St. Nikolai,030 3335863,030333 58 63
396,Kita der Kath. Kirchengem. St. Marien,030 3337343,303337343
397,Schüler- und Kinderladen Spandau,030 3323258,303323258
400,Kita der Ev. Kirchengem. Vaterunser,030 8215801,030821 58 01
404,"Evangelische Kita"" Zur Heimat""",030 8151572,030815 15 72
405,Kita Lindenhof,030 75517880,03075 51 78 80
406,Kita Rheingaustraße des Pestalozzi-Fröbel-Hauses,030 8213007,030821 30 07
410,Kita der Ev. Kirchengem. Lukas,030 7911148,030791 11 48
411,Kita der Ev. Kirchengem. Matthäus,030 8346002,030834 60 02
412,EKT - Fliegenpilz,030 7918051,307918051
413,Ev. Paulus-KG Tempelhof,030 75750260,75 750 260
